iter	Logloss
0	0.6113119388
1	0.5483526072
2	0.4968676468
3	0.4561664874
4	0.4208483438
5	0.3940407029
6	0.3843625672
7	0.3643231979
8	0.3502631967
9	0.3383711977
10	0.3292032484
11	0.3206163288
12	0.3139617448
13	0.308102096
14	0.3035019341
15	0.2994007589
16	0.2958627515
17	0.2925736633
18	0.2899358107
19	0.287481715
20	0.285500547
21	0.2839807353
22	0.282325317
23	0.2811169036
24	0.2798562239
25	0.2794258738
26	0.2784111236
27	0.2776313345
28	0.2769712661
29	0.2762692518
30	0.2754136371
31	0.274744009
32	0.2742085305
33	0.2737282605
34	0.2733980446
35	0.2728985292
36	0.272411001
37	0.2720876742
38	0.2717552962
39	0.2716056815
40	0.271226251
41	0.2707336984
42	0.2706377675
43	0.2703354084
44	0.270309766
45	0.2698742468
46	0.2698260411
47	0.269569771
48	0.2693780812
49	0.2693650057
50	0.2691478311
51	0.2689839636
52	0.2688279454
53	0.2685332628
54	0.2684221966
55	0.2682579775
56	0.2679594195
57	0.267838697
58	0.2675652431
59	0.2675621858
60	0.2673794917
61	0.2671644791
62	0.266950888
63	0.266845714
64	0.2666480531
65	0.2664427308
66	0.2663552354
67	0.266236047
68	0.266048325
69	0.2658290946
70	0.2656039315
71	0.2655009797
72	0.2653289486
73	0.2652155191
74	0.2650725072
75	0.2648520403
76	0.2647828063
77	0.2646786729
78	0.2645610813
79	0.264550324
80	0.2642717546
81	0.2641169062
82	0.2640467409
83	0.2639485128
84	0.2638271873
85	0.2635751012
86	0.2634770455
87	0.2633756977
88	0.263136197
89	0.263134764
