iter	Passed	Remaining
0	78	78647
1	86	43281
2	94	31315
3	101	25317
4	107	21381
5	116	19258
6	124	17648
7	132	16464
8	141	15538
9	149	14757
10	156	14084
11	164	13548
12	172	13124
13	181	12787
14	189	12437
15	195	12050
16	207	11976
17	214	11719
18	222	11481
19	230	11271
20	237	11080
21	243	10837
22	250	10635
23	260	10573
24	267	10418
25	275	10326
26	281	10161
27	288	10017
28	295	9900
29	302	9796
30	310	9710
31	320	9686
32	327	9608
33	336	9570
34	343	9480
35	351	9409
36	358	9319
37	366	9268
38	374	9222
39	381	9161
40	388	9095
41	396	9046
42	405	9014
43	411	8947
44	416	8829
45	427	8857
46	431	8742
47	437	8683
48	445	8646
49	449	8535
50	456	8492
51	465	8487
52	471	8430
53	478	8388
54	485	8336
55	491	8288
56	498	8244
57	506	8223
58	512	8175
59	516	8090
60	523	8061
61	530	8020
62	537	7986
63	546	7989
64	553	7965
65	560	7936
66	568	7917
67	575	7889
68	582	7862
69	590	7841
70	596	7804
71	605	7799
72	611	7770
73	619	7747
74	626	7724
75	633	7697
76	641	7695
77	649	7673
78	659	7685
79	665	7647
80	674	7653
81	682	7644
82	691	7635
83	697	7610
84	704	7587
85	714	7597
86	721	7572
87	729	7560
88	737	7544
89	742	7510
